seed,mean_return,std_return,mean_length,std_length,mean_accuracy,std_accuracy,mean_1_off_accuracy,std_1_off_accuracy
1,-17.028,0.4418325474656661,1.0,0.0,0.15446666666666667,0.35382362838001646,0.5658444444444445,0.49109307709472994
2,-17.014,0.31273631065164154,1.0,0.0,0.1693888888888889,0.36948027812851647,0.49622222222222223,0.49407706701297943
3,-17.021,0.382830249588509,1.0,0.0,0.03818888888888889,0.1730539168818439,0.7319444444444444,0.43754440691739094
