Epoch #71: episode_reward: 1033.262 ± 269.872,                               episode_length: 1000.000 ± 0.000
Epoch #72: episode_reward: 1965.309 ± 170.745,                               episode_length: 1000.000 ± 0.000
Epoch #73: episode_reward: 1396.372 ± 823.793,                               episode_length: 1000.000 ± 0.000
Epoch #74: episode_reward: 1518.526 ± 67.962,                               episode_length: 1000.000 ± 0.000
Epoch #75: episode_reward: 2207.508 ± 90.161,                               episode_length: 1000.000 ± 0.000
Epoch #76: episode_reward: 2300.885 ± 812.965,                               episode_length: 1000.000 ± 0.000
Epoch #77: episode_reward: 1971.934 ± 132.793,                               episode_length: 1000.000 ± 0.000
Epoch #78: episode_reward: 1394.089 ± 122.159,                               episode_length: 1000.000 ± 0.000
Epoch #79: episode_reward: 1333.743 ± 70.064,                               episode_length: 1000.000 ± 0.000
Epoch #80: episode_reward: 2205.692 ± 113.088,                               episode_length: 1000.000 ± 0.000
Epoch #81: episode_reward: 1999.012 ± 115.642,                               episode_length: 1000.000 ± 0.000
Epoch #82: episode_reward: 1274.348 ± 1262.361,                               episode_length: 1000.000 ± 0.000
Epoch #83: episode_reward: 1596.515 ± 87.937,                               episode_length: 1000.000 ± 0.000
Epoch #84: episode_reward: 1173.416 ± 692.225,                               episode_length: 1000.000 ± 0.000
Epoch #85: episode_reward: 731.190 ± 40.761,                               episode_length: 1000.000 ± 0.000
Epoch #86: episode_reward: 1548.122 ± 580.705,                               episode_length: 1000.000 ± 0.000
Epoch #87: episode_reward: 2364.626 ± 346.929,                               episode_length: 1000.000 ± 0.000
Epoch #88: episode_reward: 1863.668 ± 435.219,                               episode_length: 1000.000 ± 0.000
Epoch #89: episode_reward: 122.997 ± 551.752,                               episode_length: 1000.000 ± 0.000
Epoch #90: episode_reward: -218.969 ± 36.953,                               episode_length: 1000.000 ± 0.000
Epoch #91: episode_reward: -290.378 ± 4.423,                               episode_length: 1000.000 ± 0.000
Epoch #92: episode_reward: -215.698 ± 12.272,                               episode_length: 1000.000 ± 0.000
Epoch #93: episode_reward: 2476.022 ± 640.137,                               episode_length: 1000.000 ± 0.000
Epoch #94: episode_reward: 3293.545 ± 132.250,                               episode_length: 1000.000 ± 0.000
Epoch #95: episode_reward: 2039.180 ± 166.633,                               episode_length: 1000.000 ± 0.000
Epoch #96: episode_reward: 44.377 ± 277.786,                               episode_length: 1000.000 ± 0.000
Epoch #97: episode_reward: 1575.160 ± 112.218,                               episode_length: 1000.000 ± 0.000
Epoch #98: episode_reward: 1854.499 ± 249.203,                               episode_length: 1000.000 ± 0.000
Epoch #99: episode_reward: 1305.163 ± 95.253,                               episode_length: 1000.000 ± 0.000
Epoch #100: episode_reward: 2572.146 ± 179.750,                               episode_length: 1000.000 ± 0.000
Epoch #101: episode_reward: 2750.344 ± 178.732,                               episode_length: 1000.000 ± 0.000
Epoch #102: episode_reward: 3425.034 ± 159.072,                               episode_length: 1000.000 ± 0.000
Epoch #103: episode_reward: 2504.717 ± 104.002,                               episode_length: 1000.000 ± 0.000
Epoch #104: episode_reward: 2323.092 ± 1249.138,                               episode_length: 1000.000 ± 0.000
Epoch #105: episode_reward: 2509.158 ± 90.934,                               episode_length: 1000.000 ± 0.000
Epoch #106: episode_reward: 2541.185 ± 1582.251,                               episode_length: 1000.000 ± 0.000
Epoch #107: episode_reward: 3402.773 ± 106.728,                               episode_length: 1000.000 ± 0.000
Epoch #108: episode_reward: 3488.009 ± 137.043,                               episode_length: 1000.000 ± 0.000
Epoch #109: episode_reward: 3861.499 ± 95.826,                               episode_length: 1000.000 ± 0.000
Epoch #110: episode_reward: 3553.528 ± 144.898,                               episode_length: 1000.000 ± 0.000
Epoch #111: episode_reward: 1855.975 ± 111.677,                               episode_length: 1000.000 ± 0.000
Epoch #112: episode_reward: 2219.531 ± 143.049,                               episode_length: 1000.000 ± 0.000
Epoch #113: episode_reward: 3067.675 ± 185.899,                               episode_length: 1000.000 ± 0.000
Epoch #114: episode_reward: 2666.880 ± 160.253,                               episode_length: 1000.000 ± 0.000
Epoch #115: episode_reward: 2742.753 ± 267.093,                               episode_length: 1000.000 ± 0.000
Epoch #116: episode_reward: 2472.998 ± 238.742,                               episode_length: 1000.000 ± 0.000
Epoch #117: episode_reward: 2318.860 ± 67.550,                               episode_length: 1000.000 ± 0.000
Epoch #118: episode_reward: 3252.369 ± 139.402,                               episode_length: 1000.000 ± 0.000
Epoch #119: episode_reward: 3444.973 ± 110.198,                               episode_length: 1000.000 ± 0.000
Epoch #120: episode_reward: 1913.380 ± 49.562,                               episode_length: 1000.000 ± 0.000
Epoch #121: episode_reward: 3278.166 ± 60.315,                               episode_length: 1000.000 ± 0.000
Epoch #122: episode_reward: 2920.333 ± 101.107,                               episode_length: 1000.000 ± 0.000
Epoch #123: episode_reward: 2436.603 ± 885.515,                               episode_length: 1000.000 ± 0.000
Epoch #124: episode_reward: 2460.838 ± 905.473,                               episode_length: 1000.000 ± 0.000
Epoch #125: episode_reward: 3045.891 ± 315.897,                               episode_length: 1000.000 ± 0.000
Epoch #126: episode_reward: 2513.292 ± 234.875,                               episode_length: 1000.000 ± 0.000
Epoch #127: episode_reward: 2575.360 ± 161.289,                               episode_length: 1000.000 ± 0.000
Epoch #128: episode_reward: 3000.641 ± 134.846,                               episode_length: 1000.000 ± 0.000
Epoch #129: episode_reward: 3103.714 ± 49.715,                               episode_length: 1000.000 ± 0.000
Epoch #130: episode_reward: 3110.654 ± 90.848,                               episode_length: 1000.000 ± 0.000
Epoch #131: episode_reward: 2476.984 ± 95.637,                               episode_length: 1000.000 ± 0.000
Epoch #132: episode_reward: 2779.090 ± 72.771,                               episode_length: 1000.000 ± 0.000
Epoch #133: episode_reward: 3306.535 ± 142.308,                               episode_length: 1000.000 ± 0.000
Epoch #134: episode_reward: 2546.089 ± 141.472,                               episode_length: 1000.000 ± 0.000
Epoch #135: episode_reward: 2261.256 ± 56.814,                               episode_length: 1000.000 ± 0.000
Epoch #136: episode_reward: 1655.959 ± 65.748,                               episode_length: 1000.000 ± 0.000
Epoch #137: episode_reward: 2160.976 ± 120.081,                               episode_length: 1000.000 ± 0.000
Epoch #138: episode_reward: 2970.812 ± 98.492,                               episode_length: 1000.000 ± 0.000
Epoch #139: episode_reward: 1048.682 ± 43.311,                               episode_length: 1000.000 ± 0.000
Epoch #140: episode_reward: 1832.870 ± 77.159,                               episode_length: 1000.000 ± 0.000
Epoch #141: episode_reward: 3027.417 ± 104.071,                               episode_length: 1000.000 ± 0.000
Epoch #142: episode_reward: 3500.197 ± 258.546,                               episode_length: 1000.000 ± 0.000
Epoch #143: episode_reward: 2780.421 ± 129.999,                               episode_length: 1000.000 ± 0.000
Epoch #144: episode_reward: 3028.036 ± 56.436,                               episode_length: 1000.000 ± 0.000
Epoch #145: episode_reward: 2407.443 ± 71.770,                               episode_length: 1000.000 ± 0.000
Epoch #146: episode_reward: 2307.677 ± 119.402,                               episode_length: 1000.000 ± 0.000
Epoch #147: episode_reward: 1902.884 ± 67.626,                               episode_length: 1000.000 ± 0.000
Epoch #148: episode_reward: 2868.669 ± 65.111,                               episode_length: 1000.000 ± 0.000
Epoch #149: episode_reward: 2007.780 ± 53.777,                               episode_length: 1000.000 ± 0.000
Epoch #150: episode_reward: 3165.665 ± 73.375,                               episode_length: 1000.000 ± 0.000
Epoch #151: episode_reward: 1691.579 ± 213.611,                               episode_length: 1000.000 ± 0.000
Epoch #152: episode_reward: 1490.206 ± 157.902,                               episode_length: 1000.000 ± 0.000
Epoch #153: episode_reward: 3733.955 ± 98.139,                               episode_length: 1000.000 ± 0.000
Epoch #154: episode_reward: 3041.292 ± 106.655,                               episode_length: 1000.000 ± 0.000
Epoch #155: episode_reward: 289.709 ± 920.937,                               episode_length: 1000.000 ± 0.000
Epoch #156: episode_reward: 3542.427 ± 75.777,                               episode_length: 1000.000 ± 0.000
Epoch #157: episode_reward: 3453.443 ± 97.623,                               episode_length: 1000.000 ± 0.000
Epoch #158: episode_reward: 2043.330 ± 164.896,                               episode_length: 1000.000 ± 0.000
Epoch #159: episode_reward: 2714.634 ± 72.601,                               episode_length: 1000.000 ± 0.000
Epoch #160: episode_reward: 2096.810 ± 120.996,                               episode_length: 1000.000 ± 0.000
Epoch #161: episode_reward: 2250.439 ± 148.135,                               episode_length: 1000.000 ± 0.000
Epoch #162: episode_reward: 2741.623 ± 162.366,                               episode_length: 1000.000 ± 0.000
Epoch #163: episode_reward: 3400.305 ± 114.344,                               episode_length: 1000.000 ± 0.000
Epoch #164: episode_reward: 3299.238 ± 145.902,                               episode_length: 1000.000 ± 0.000
Epoch #165: episode_reward: 3712.220 ± 66.669,                               episode_length: 1000.000 ± 0.000
Epoch #166: episode_reward: 3553.528 ± 140.801,                               episode_length: 1000.000 ± 0.000
Epoch #167: episode_reward: 2650.780 ± 79.941,                               episode_length: 1000.000 ± 0.000
Epoch #168: episode_reward: 3288.484 ± 62.472,                               episode_length: 1000.000 ± 0.000
Epoch #169: episode_reward: 4183.241 ± 72.627,                               episode_length: 1000.000 ± 0.000
Epoch #170: episode_reward: 3948.935 ± 112.493,                               episode_length: 1000.000 ± 0.000
Epoch #171: episode_reward: 4708.254 ± 413.453,                               episode_length: 1000.000 ± 0.000
Epoch #172: episode_reward: 3032.103 ± 105.839,                               episode_length: 1000.000 ± 0.000
Epoch #173: episode_reward: 3238.074 ± 110.954,                               episode_length: 1000.000 ± 0.000
Epoch #174: episode_reward: 2658.254 ± 84.802,                               episode_length: 1000.000 ± 0.000
Epoch #175: episode_reward: 2731.019 ± 129.274,                               episode_length: 1000.000 ± 0.000
Epoch #176: episode_reward: 2725.932 ± 71.459,                               episode_length: 1000.000 ± 0.000
Epoch #177: episode_reward: 4311.650 ± 1555.559,                               episode_length: 1000.000 ± 0.000
Epoch #178: episode_reward: 4293.919 ± 86.478,                               episode_length: 1000.000 ± 0.000
Epoch #179: episode_reward: 4137.674 ± 78.743,                               episode_length: 1000.000 ± 0.000
Epoch #180: episode_reward: 3545.861 ± 64.832,                               episode_length: 1000.000 ± 0.000
Epoch #181: episode_reward: 2877.398 ± 120.186,                               episode_length: 1000.000 ± 0.000
Epoch #182: episode_reward: 3638.293 ± 82.657,                               episode_length: 1000.000 ± 0.000
Epoch #183: episode_reward: 3098.397 ± 1399.797,                               episode_length: 1000.000 ± 0.000
Epoch #184: episode_reward: 3436.452 ± 87.286,                               episode_length: 1000.000 ± 0.000
Epoch #185: episode_reward: 3186.288 ± 205.810,                               episode_length: 1000.000 ± 0.000
Epoch #186: episode_reward: 3866.346 ± 77.153,                               episode_length: 1000.000 ± 0.000
