Epoch #70: episode_reward: 5013.313 ± 80.350,                               episode_length: 1000.000 ± 0.000
Epoch #71: episode_reward: 4901.720 ± 79.721,                               episode_length: 1000.000 ± 0.000
Epoch #72: episode_reward: 4773.229 ± 67.056,                               episode_length: 1000.000 ± 0.000
Epoch #73: episode_reward: 4698.732 ± 98.626,                               episode_length: 1000.000 ± 0.000
Epoch #74: episode_reward: 4842.494 ± 68.483,                               episode_length: 1000.000 ± 0.000
Epoch #75: episode_reward: 4694.987 ± 69.008,                               episode_length: 1000.000 ± 0.000
Epoch #76: episode_reward: 4964.767 ± 69.351,                               episode_length: 1000.000 ± 0.000
Epoch #77: episode_reward: 4849.221 ± 54.494,                               episode_length: 1000.000 ± 0.000
Epoch #78: episode_reward: 4788.375 ± 51.547,                               episode_length: 1000.000 ± 0.000
Epoch #79: episode_reward: 4888.076 ± 46.765,                               episode_length: 1000.000 ± 0.000
Epoch #80: episode_reward: 4837.573 ± 67.348,                               episode_length: 1000.000 ± 0.000
Epoch #81: episode_reward: 4918.061 ± 47.559,                               episode_length: 1000.000 ± 0.000
Epoch #82: episode_reward: 5073.354 ± 110.521,                               episode_length: 1000.000 ± 0.000
Epoch #83: episode_reward: 4864.007 ± 81.742,                               episode_length: 1000.000 ± 0.000
Epoch #84: episode_reward: 4915.062 ± 59.535,                               episode_length: 1000.000 ± 0.000
Epoch #85: episode_reward: 4891.497 ± 70.941,                               episode_length: 1000.000 ± 0.000
Epoch #86: episode_reward: 4994.077 ± 70.517,                               episode_length: 1000.000 ± 0.000
Epoch #87: episode_reward: 4928.284 ± 77.283,                               episode_length: 1000.000 ± 0.000
Epoch #88: episode_reward: 4917.747 ± 72.068,                               episode_length: 1000.000 ± 0.000
Epoch #89: episode_reward: 4773.377 ± 86.467,                               episode_length: 1000.000 ± 0.000
Epoch #90: episode_reward: 4908.595 ± 60.342,                               episode_length: 1000.000 ± 0.000
Epoch #91: episode_reward: 5056.800 ± 85.591,                               episode_length: 1000.000 ± 0.000
Epoch #92: episode_reward: 4926.197 ± 66.720,                               episode_length: 1000.000 ± 0.000
Epoch #93: episode_reward: 4801.214 ± 57.766,                               episode_length: 1000.000 ± 0.000
Epoch #94: episode_reward: 5152.534 ± 84.126,                               episode_length: 1000.000 ± 0.000
Epoch #95: episode_reward: 4934.552 ± 53.242,                               episode_length: 1000.000 ± 0.000
Epoch #96: episode_reward: 4935.911 ± 71.881,                               episode_length: 1000.000 ± 0.000
Epoch #97: episode_reward: 4871.168 ± 49.786,                               episode_length: 1000.000 ± 0.000
Epoch #98: episode_reward: 4944.572 ± 121.685,                               episode_length: 1000.000 ± 0.000
Epoch #99: episode_reward: 4965.344 ± 77.119,                               episode_length: 1000.000 ± 0.000
Epoch #100: episode_reward: 4836.324 ± 61.116,                               episode_length: 1000.000 ± 0.000
total time: 3145.093s
