Timesteps,episode_reward
1000,-1.7552
2000,-1.3252
3000,355.6337
4000,1178.3171
5000,638.2697
6000,1130.9298
7000,1489.2119
8000,1809.2687
9000,2252.9575
10000,1319.4927
11000,318.5855
12000,-2.6417
13000,739.0284
14000,2660.4587
15000,3250.9058
16000,3120.0037
17000,3526.801
18000,2170.7476
19000,2423.0647
20000,3887.0544
21000,3404.7437
22000,3765.0867
23000,3672.0024
24000,3840.9941
25000,2007.1122
26000,4418.4092
27000,4467.8501
28000,3907.0562
29000,4472.2778
30000,4349.4009
31000,4454.5645
32000,3749.2695
33000,4376.9663
34000,4437.9019
35000,4645.3081
36000,4572.3555
37000,4625.6211
38000,4733.9043
39000,4296.4062
40000,4675.7246
41000,4587.8667
42000,4842.3027
43000,4512.4136
44000,4834.3027
45000,4485.5562
46000,4815.6094
47000,4380.397
48000,4622.3169
49000,4586.2275
50000,4634.2812
51000,4593.4009
52000,4541.9546
53000,4123.6997
54000,4321.6987
55000,4399.4819
56000,4493.0898
57000,4717.7964
58000,4606.3896
59000,4815.6353
60000,4701.7271
61000,4668.7334
62000,4552.2285
63000,4668.4507
64000,4833.4463
65000,4498.2319
66000,4741.3638
67000,4626.0059
68000,4753.2285
69000,4856.6846
70000,5013.3135
71000,4901.7197
72000,4773.2285
73000,4698.7319
74000,4842.4941
75000,4694.9873
76000,4964.7671
77000,4849.2212
78000,4788.375
79000,4888.0762
80000,4837.5732
81000,4918.061
82000,5073.354
83000,4864.0073
84000,4915.0615
85000,4891.4971
86000,4994.0771
87000,4928.2842
88000,4917.7471
89000,4773.3774
90000,4908.5957
91000,5056.7998
92000,4926.1973
93000,4801.2139
94000,5152.5342
95000,4934.5522
96000,4935.9111
97000,4871.1685
98000,4944.5723
99000,4965.3442
100000,4836.3242
