Epoch #70: episode_reward: 3126.982 ± 23.473,                               episode_length: 1000.000 ± 0.000
Epoch #71: episode_reward: 3024.810 ± 22.465,                               episode_length: 1000.000 ± 0.000
Epoch #72: episode_reward: 2909.777 ± 24.241,                               episode_length: 1000.000 ± 0.000
Epoch #73: episode_reward: 2988.575 ± 25.236,                               episode_length: 1000.000 ± 0.000
Epoch #74: episode_reward: 3009.070 ± 14.522,                               episode_length: 1000.000 ± 0.000
Epoch #75: episode_reward: 2987.928 ± 12.706,                               episode_length: 1000.000 ± 0.000
Epoch #76: episode_reward: 3187.216 ± 27.414,                               episode_length: 1000.000 ± 0.000
Epoch #77: episode_reward: 3112.133 ± 32.038,                               episode_length: 1000.000 ± 0.000
Epoch #78: episode_reward: 3040.111 ± 26.322,                               episode_length: 1000.000 ± 0.000
Epoch #79: episode_reward: 2889.236 ± 42.258,                               episode_length: 1000.000 ± 0.000
Epoch #80: episode_reward: 2984.419 ± 24.007,                               episode_length: 1000.000 ± 0.000
Epoch #81: episode_reward: 2936.043 ± 26.456,                               episode_length: 1000.000 ± 0.000
Epoch #82: episode_reward: 2960.943 ± 22.332,                               episode_length: 1000.000 ± 0.000
Epoch #83: episode_reward: 3003.448 ± 26.887,                               episode_length: 1000.000 ± 0.000
Epoch #84: episode_reward: 2830.421 ± 28.509,                               episode_length: 1000.000 ± 0.000
Epoch #85: episode_reward: 2871.425 ± 25.826,                               episode_length: 1000.000 ± 0.000
Epoch #86: episode_reward: 2930.918 ± 32.893,                               episode_length: 1000.000 ± 0.000
Epoch #87: episode_reward: 2993.196 ± 26.384,                               episode_length: 1000.000 ± 0.000
Epoch #88: episode_reward: 2692.630 ± 35.601,                               episode_length: 1000.000 ± 0.000
Epoch #89: episode_reward: 2992.148 ± 37.640,                               episode_length: 1000.000 ± 0.000
Epoch #90: episode_reward: 2925.293 ± 32.617,                               episode_length: 1000.000 ± 0.000
Epoch #91: episode_reward: 2793.773 ± 61.166,                               episode_length: 1000.000 ± 0.000
Epoch #92: episode_reward: 3094.741 ± 41.139,                               episode_length: 1000.000 ± 0.000
Epoch #93: episode_reward: 2922.683 ± 38.554,                               episode_length: 1000.000 ± 0.000
Epoch #94: episode_reward: 3059.146 ± 28.312,                               episode_length: 1000.000 ± 0.000
Epoch #95: episode_reward: 2862.769 ± 38.937,                               episode_length: 1000.000 ± 0.000
Epoch #96: episode_reward: 3057.724 ± 29.363,                               episode_length: 1000.000 ± 0.000
Epoch #97: episode_reward: 2715.199 ± 47.585,                               episode_length: 1000.000 ± 0.000
Epoch #98: episode_reward: 2987.840 ± 43.236,                               episode_length: 1000.000 ± 0.000
Epoch #99: episode_reward: 2982.260 ± 40.659,                               episode_length: 1000.000 ± 0.000
Epoch #100: episode_reward: 2993.453 ± 78.709,                               episode_length: 1000.000 ± 0.000
Epoch #101: episode_reward: 2975.887 ± 36.469,                               episode_length: 1000.000 ± 0.000
Epoch #102: episode_reward: 2903.213 ± 28.013,                               episode_length: 1000.000 ± 0.000
Epoch #103: episode_reward: 2777.673 ± 49.956,                               episode_length: 1000.000 ± 0.000
Epoch #104: episode_reward: 2988.348 ± 32.343,                               episode_length: 1000.000 ± 0.000
Epoch #105: episode_reward: 3016.126 ± 33.371,                               episode_length: 1000.000 ± 0.000
Epoch #106: episode_reward: 3095.185 ± 20.715,                               episode_length: 1000.000 ± 0.000
Epoch #107: episode_reward: 2785.843 ± 50.722,                               episode_length: 1000.000 ± 0.000
Epoch #108: episode_reward: 2788.846 ± 35.947,                               episode_length: 1000.000 ± 0.000
Epoch #109: episode_reward: 2889.508 ± 112.763,                               episode_length: 1000.000 ± 0.000
Epoch #110: episode_reward: 2950.534 ± 109.069,                               episode_length: 1000.000 ± 0.000
Epoch #111: episode_reward: 3098.628 ± 45.849,                               episode_length: 1000.000 ± 0.000
Epoch #112: episode_reward: 2795.957 ± 33.816,                               episode_length: 1000.000 ± 0.000
Epoch #113: episode_reward: 2821.422 ± 44.763,                               episode_length: 1000.000 ± 0.000
Epoch #114: episode_reward: 2867.764 ± 56.730,                               episode_length: 1000.000 ± 0.000
Epoch #115: episode_reward: 2743.932 ± 43.811,                               episode_length: 1000.000 ± 0.000
Epoch #116: episode_reward: 2721.366 ± 44.412,                               episode_length: 1000.000 ± 0.000
Epoch #117: episode_reward: 2776.464 ± 45.361,                               episode_length: 1000.000 ± 0.000
Epoch #118: episode_reward: 2597.053 ± 72.248,                               episode_length: 1000.000 ± 0.000
Epoch #119: episode_reward: 2931.643 ± 35.145,                               episode_length: 1000.000 ± 0.000
Epoch #120: episode_reward: 3007.645 ± 74.915,                               episode_length: 1000.000 ± 0.000
Epoch #121: episode_reward: 2871.508 ± 23.057,                               episode_length: 1000.000 ± 0.000
Epoch #122: episode_reward: 2706.012 ± 33.281,                               episode_length: 1000.000 ± 0.000
Epoch #123: episode_reward: 2727.487 ± 16.355,                               episode_length: 1000.000 ± 0.000
Epoch #124: episode_reward: 2517.958 ± 24.447,                               episode_length: 1000.000 ± 0.000
Epoch #125: episode_reward: 2749.688 ± 59.948,                               episode_length: 1000.000 ± 0.000
Epoch #126: episode_reward: 2725.467 ± 33.743,                               episode_length: 1000.000 ± 0.000
Epoch #127: episode_reward: 2890.021 ± 61.478,                               episode_length: 1000.000 ± 0.000
Epoch #128: episode_reward: 2590.542 ± 54.617,                               episode_length: 1000.000 ± 0.000
Epoch #129: episode_reward: 2673.785 ± 41.371,                               episode_length: 1000.000 ± 0.000
Epoch #130: episode_reward: 2619.724 ± 24.438,                               episode_length: 1000.000 ± 0.000
Epoch #131: episode_reward: 2639.586 ± 36.085,                               episode_length: 1000.000 ± 0.000
Epoch #132: episode_reward: 2502.237 ± 23.797,                               episode_length: 1000.000 ± 0.000
Epoch #133: episode_reward: 2819.145 ± 46.609,                               episode_length: 1000.000 ± 0.000
Epoch #134: episode_reward: 2618.590 ± 23.513,                               episode_length: 1000.000 ± 0.000
Epoch #135: episode_reward: 2601.531 ± 23.122,                               episode_length: 1000.000 ± 0.000
Epoch #136: episode_reward: 2668.773 ± 13.768,                               episode_length: 1000.000 ± 0.000
Epoch #137: episode_reward: 2667.636 ± 20.742,                               episode_length: 1000.000 ± 0.000
Epoch #138: episode_reward: 2463.996 ± 17.789,                               episode_length: 1000.000 ± 0.000
Epoch #139: episode_reward: 2584.706 ± 26.244,                               episode_length: 1000.000 ± 0.000
Epoch #140: episode_reward: 2652.315 ± 33.707,                               episode_length: 1000.000 ± 0.000
Epoch #141: episode_reward: 2807.229 ± 32.883,                               episode_length: 1000.000 ± 0.000
Epoch #142: episode_reward: 2687.611 ± 34.027,                               episode_length: 1000.000 ± 0.000
Epoch #143: episode_reward: 2744.874 ± 61.110,                               episode_length: 1000.000 ± 0.000
Epoch #144: episode_reward: 2659.212 ± 51.508,                               episode_length: 1000.000 ± 0.000
Epoch #145: episode_reward: 2699.411 ± 36.797,                               episode_length: 1000.000 ± 0.000
Epoch #146: episode_reward: 2767.540 ± 29.775,                               episode_length: 1000.000 ± 0.000
Epoch #147: episode_reward: 2696.110 ± 28.861,                               episode_length: 1000.000 ± 0.000
Epoch #148: episode_reward: 2713.510 ± 33.566,                               episode_length: 1000.000 ± 0.000
Epoch #149: episode_reward: 2695.862 ± 42.973,                               episode_length: 1000.000 ± 0.000
Epoch #150: episode_reward: 2623.347 ± 58.440,                               episode_length: 1000.000 ± 0.000
Epoch #151: episode_reward: 2519.882 ± 36.846,                               episode_length: 1000.000 ± 0.000
Epoch #152: episode_reward: 2798.235 ± 44.646,                               episode_length: 1000.000 ± 0.000
Epoch #153: episode_reward: 2633.035 ± 54.099,                               episode_length: 1000.000 ± 0.000
Epoch #154: episode_reward: 2758.302 ± 47.636,                               episode_length: 1000.000 ± 0.000
Epoch #155: episode_reward: 2751.481 ± 24.116,                               episode_length: 1000.000 ± 0.000
Epoch #156: episode_reward: 2857.492 ± 30.584,                               episode_length: 1000.000 ± 0.000
Epoch #157: episode_reward: 2584.865 ± 28.172,                               episode_length: 1000.000 ± 0.000
Epoch #158: episode_reward: 2659.067 ± 24.612,                               episode_length: 1000.000 ± 0.000
Epoch #159: episode_reward: 2718.154 ± 43.108,                               episode_length: 1000.000 ± 0.000
Epoch #160: episode_reward: 2772.740 ± 29.984,                               episode_length: 1000.000 ± 0.000
Epoch #161: episode_reward: 2633.587 ± 57.564,                               episode_length: 1000.000 ± 0.000
Epoch #162: episode_reward: 2800.995 ± 45.509,                               episode_length: 1000.000 ± 0.000
Epoch #163: episode_reward: 2585.239 ± 37.185,                               episode_length: 1000.000 ± 0.000
Epoch #164: episode_reward: 2712.520 ± 28.151,                               episode_length: 1000.000 ± 0.000
Epoch #165: episode_reward: 2732.057 ± 19.696,                               episode_length: 1000.000 ± 0.000
Epoch #166: episode_reward: 2668.314 ± 39.892,                               episode_length: 1000.000 ± 0.000
Epoch #167: episode_reward: 2678.801 ± 31.309,                               episode_length: 1000.000 ± 0.000
Epoch #168: episode_reward: 2631.273 ± 84.995,                               episode_length: 1000.000 ± 0.000
Epoch #169: episode_reward: 2665.522 ± 31.467,                               episode_length: 1000.000 ± 0.000
Epoch #170: episode_reward: 2578.290 ± 30.930,                               episode_length: 1000.000 ± 0.000
Epoch #171: episode_reward: 2642.372 ± 35.337,                               episode_length: 1000.000 ± 0.000
Epoch #172: episode_reward: 2687.104 ± 27.973,                               episode_length: 1000.000 ± 0.000
Epoch #173: episode_reward: 2764.693 ± 43.889,                               episode_length: 1000.000 ± 0.000
Epoch #174: episode_reward: 2851.519 ± 28.173,                               episode_length: 1000.000 ± 0.000
Epoch #175: episode_reward: 2763.337 ± 20.539,                               episode_length: 1000.000 ± 0.000
Epoch #176: episode_reward: 2843.719 ± 18.700,                               episode_length: 1000.000 ± 0.000
Epoch #177: episode_reward: 2664.827 ± 24.394,                               episode_length: 1000.000 ± 0.000
Epoch #178: episode_reward: 2707.790 ± 30.599,                               episode_length: 1000.000 ± 0.000
Epoch #179: episode_reward: 2625.976 ± 23.132,                               episode_length: 1000.000 ± 0.000
Epoch #180: episode_reward: 2700.488 ± 30.933,                               episode_length: 1000.000 ± 0.000
Epoch #181: episode_reward: 2832.104 ± 22.382,                               episode_length: 1000.000 ± 0.000
Epoch #182: episode_reward: 2701.565 ± 28.461,                               episode_length: 1000.000 ± 0.000
Epoch #183: episode_reward: 2617.855 ± 54.811,                               episode_length: 1000.000 ± 0.000
Epoch #184: episode_reward: 2724.416 ± 28.333,                               episode_length: 1000.000 ± 0.000
Epoch #185: episode_reward: 2726.674 ± 32.386,                               episode_length: 1000.000 ± 0.000
Epoch #186: episode_reward: 2699.308 ± 24.092,                               episode_length: 1000.000 ± 0.000
Epoch #187: episode_reward: 2749.151 ± 19.050,                               episode_length: 1000.000 ± 0.000
Epoch #188: episode_reward: 2648.679 ± 24.172,                               episode_length: 1000.000 ± 0.000
Epoch #189: episode_reward: 2855.094 ± 32.019,                               episode_length: 1000.000 ± 0.000
Epoch #190: episode_reward: 2828.217 ± 38.560,                               episode_length: 1000.000 ± 0.000
Epoch #191: episode_reward: 2597.614 ± 29.667,                               episode_length: 1000.000 ± 0.000
Epoch #192: episode_reward: 2797.187 ± 79.757,                               episode_length: 1000.000 ± 0.000
Epoch #193: episode_reward: 2772.707 ± 25.871,                               episode_length: 1000.000 ± 0.000
Epoch #194: episode_reward: 2712.074 ± 46.940,                               episode_length: 1000.000 ± 0.000
Epoch #195: episode_reward: 2790.802 ± 32.225,                               episode_length: 1000.000 ± 0.000
Epoch #196: episode_reward: 2690.186 ± 21.838,                               episode_length: 1000.000 ± 0.000
Epoch #197: episode_reward: 2821.018 ± 33.186,                               episode_length: 1000.000 ± 0.000
Epoch #198: episode_reward: 2626.061 ± 22.168,                               episode_length: 1000.000 ± 0.000
Epoch #199: episode_reward: 2589.599 ± 18.432,                               episode_length: 1000.000 ± 0.000
Epoch #200: episode_reward: 2618.606 ± 21.609,                               episode_length: 1000.000 ± 0.000
Epoch #201: episode_reward: 2636.920 ± 21.072,                               episode_length: 1000.000 ± 0.000
Epoch #202: episode_reward: 2639.059 ± 27.644,                               episode_length: 1000.000 ± 0.000
Epoch #203: episode_reward: 2705.845 ± 28.930,                               episode_length: 1000.000 ± 0.000
Epoch #204: episode_reward: 2748.643 ± 37.019,                               episode_length: 1000.000 ± 0.000
Epoch #205: episode_reward: 2767.659 ± 37.079,                               episode_length: 1000.000 ± 0.000
Epoch #206: episode_reward: 2900.000 ± 31.284,                               episode_length: 1000.000 ± 0.000
Epoch #207: episode_reward: 2513.395 ± 37.966,                               episode_length: 1000.000 ± 0.000
Epoch #208: episode_reward: 2530.916 ± 43.324,                               episode_length: 1000.000 ± 0.000
Epoch #209: episode_reward: 2725.012 ± 62.204,                               episode_length: 1000.000 ± 0.000
Epoch #210: episode_reward: 2636.030 ± 36.172,                               episode_length: 1000.000 ± 0.000
Epoch #211: episode_reward: 2724.223 ± 36.555,                               episode_length: 1000.000 ± 0.000
Epoch #212: episode_reward: 2798.648 ± 22.866,                               episode_length: 1000.000 ± 0.000
Epoch #213: episode_reward: 2767.026 ± 31.616,                               episode_length: 1000.000 ± 0.000
Epoch #214: episode_reward: 2705.382 ± 14.374,                               episode_length: 1000.000 ± 0.000
Epoch #215: episode_reward: 2655.474 ± 22.856,                               episode_length: 1000.000 ± 0.000
Epoch #216: episode_reward: 2859.702 ± 29.166,                               episode_length: 1000.000 ± 0.000
Epoch #217: episode_reward: 2533.208 ± 23.024,                               episode_length: 1000.000 ± 0.000
Epoch #218: episode_reward: 2643.756 ± 27.969,                               episode_length: 1000.000 ± 0.000
Epoch #219: episode_reward: 2738.823 ± 24.256,                               episode_length: 1000.000 ± 0.000
Epoch #220: episode_reward: 2654.106 ± 26.796,                               episode_length: 1000.000 ± 0.000
Epoch #221: episode_reward: 2636.465 ± 37.858,                               episode_length: 1000.000 ± 0.000
Epoch #222: episode_reward: 2777.260 ± 33.604,                               episode_length: 1000.000 ± 0.000
Epoch #223: episode_reward: 2734.255 ± 24.106,                               episode_length: 1000.000 ± 0.000
Epoch #224: episode_reward: 2745.159 ± 28.555,                               episode_length: 1000.000 ± 0.000
Epoch #225: episode_reward: 2729.273 ± 34.076,                               episode_length: 1000.000 ± 0.000
Epoch #226: episode_reward: 2562.550 ± 34.680,                               episode_length: 1000.000 ± 0.000
Epoch #227: episode_reward: 2414.764 ± 26.978,                               episode_length: 1000.000 ± 0.000
Epoch #228: episode_reward: 2643.311 ± 39.600,                               episode_length: 1000.000 ± 0.000
Epoch #229: episode_reward: 2607.837 ± 28.246,                               episode_length: 1000.000 ± 0.000
Epoch #230: episode_reward: 2612.996 ± 26.851,                               episode_length: 1000.000 ± 0.000
Epoch #231: episode_reward: 2517.090 ± 32.103,                               episode_length: 1000.000 ± 0.000
Epoch #232: episode_reward: 2830.053 ± 19.419,                               episode_length: 1000.000 ± 0.000
Epoch #233: episode_reward: 2693.559 ± 22.324,                               episode_length: 1000.000 ± 0.000
Epoch #234: episode_reward: 2586.880 ± 28.150,                               episode_length: 1000.000 ± 0.000
Epoch #235: episode_reward: 2516.738 ± 27.925,                               episode_length: 1000.000 ± 0.000
Epoch #236: episode_reward: 2717.112 ± 39.354,                               episode_length: 1000.000 ± 0.000
Epoch #237: episode_reward: 2863.880 ± 46.161,                               episode_length: 1000.000 ± 0.000
Epoch #238: episode_reward: 2637.239 ± 34.200,                               episode_length: 1000.000 ± 0.000
Epoch #239: episode_reward: 2500.974 ± 14.650,                               episode_length: 1000.000 ± 0.000
