Epoch #1: episode_reward: 17112.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.692 ± 0.000,                               episode_1_off_accuracy: 0.713 ± 0.000
Epoch #2: episode_reward: 17112.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.692 ± 0.000,                               episode_1_off_accuracy: 0.713 ± 0.000
Epoch #3: episode_reward: 17112.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.692 ± 0.000,                               episode_1_off_accuracy: 0.713 ± 0.000
Epoch #4: episode_reward: 17112.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.692 ± 0.000,                               episode_1_off_accuracy: 0.713 ± 0.000
Epoch #5: episode_reward: 17112.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.692 ± 0.000,                               episode_1_off_accuracy: 0.713 ± 0.000
Epoch #6: episode_reward: 17112.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.185 ± 0.000,                               episode_1_off_accuracy: 0.577 ± 0.000
Epoch #7: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.135 ± 0.000,                               episode_1_off_accuracy: 0.153 ± 0.000
Epoch #8: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.135 ± 0.000,                               episode_1_off_accuracy: 0.153 ± 0.000
Epoch #9: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.135 ± 0.000,                               episode_1_off_accuracy: 0.153 ± 0.000
Epoch #10: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.135 ± 0.000,                               episode_1_off_accuracy: 0.153 ± 0.000
Epoch #11: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.135 ± 0.000,                               episode_1_off_accuracy: 0.153 ± 0.000
