Epoch #1: episode_reward: 17112.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.692 ± 0.000,                               episode_1_off_accuracy: 0.713 ± 0.000
Epoch #12: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.135 ± 0.000,                               episode_1_off_accuracy: 0.153 ± 0.000
Epoch #13: episode_reward: 17140.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.117 ± 0.000,                               episode_1_off_accuracy: 0.213 ± 0.000
Epoch #14: episode_reward: 17161.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.038 ± 0.000,                               episode_1_off_accuracy: 0.139 ± 0.000
Epoch #15: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.198 ± 0.000,                               episode_1_off_accuracy: 0.301 ± 0.000
Epoch #16: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.136 ± 0.000,                               episode_1_off_accuracy: 0.155 ± 0.000
Epoch #17: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.135 ± 0.000,                               episode_1_off_accuracy: 0.153 ± 0.000
Epoch #18: episode_reward: 17119.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.303 ± 0.000,                               episode_1_off_accuracy: 0.500 ± 0.000
Epoch #19: episode_reward: 17112.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.257 ± 0.000,                               episode_1_off_accuracy: 0.573 ± 0.000
Epoch #20: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.143 ± 0.000,                               episode_1_off_accuracy: 0.182 ± 0.000
Epoch #21: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.168 ± 0.000,                               episode_1_off_accuracy: 0.272 ± 0.000
Epoch #22: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.186 ± 0.000,                               episode_1_off_accuracy: 0.312 ± 0.000
Epoch #23: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.186 ± 0.000,                               episode_1_off_accuracy: 0.302 ± 0.000
Epoch #24: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.137 ± 0.000,                               episode_1_off_accuracy: 0.169 ± 0.000
Epoch #25: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.159 ± 0.000,                               episode_1_off_accuracy: 0.317 ± 0.000
Epoch #26: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.170 ± 0.000,                               episode_1_off_accuracy: 0.339 ± 0.000
Epoch #27: episode_reward: 17112.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.086 ± 0.000,                               episode_1_off_accuracy: 0.622 ± 0.000
Epoch #28: episode_reward: 17119.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.089 ± 0.000,                               episode_1_off_accuracy: 0.293 ± 0.000
Epoch #29: episode_reward: 17105.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.063 ± 0.000,                               episode_1_off_accuracy: 0.533 ± 0.000
Epoch #30: episode_reward: 17105.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.053 ± 0.000,                               episode_1_off_accuracy: 0.723 ± 0.000
Epoch #31: episode_reward: 17126.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.133 ± 0.000,                               episode_1_off_accuracy: 0.583 ± 0.000
Epoch #32: episode_reward: 17105.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.157 ± 0.000,                               episode_1_off_accuracy: 0.621 ± 0.000
Epoch #33: episode_reward: 17112.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.174 ± 0.000,                               episode_1_off_accuracy: 0.788 ± 0.000
Epoch #34: episode_reward: 17119.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.120 ± 0.000,                               episode_1_off_accuracy: 0.571 ± 0.000
Epoch #35: episode_reward: 17112.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.225 ± 0.000,                               episode_1_off_accuracy: 0.463 ± 0.000
Epoch #36: episode_reward: 17140.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.103 ± 0.000,                               episode_1_off_accuracy: 0.518 ± 0.000
Epoch #37: episode_reward: 17119.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.040 ± 0.000,                               episode_1_off_accuracy: 0.472 ± 0.000
Epoch #38: episode_reward: 17105.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.089 ± 0.000,                               episode_1_off_accuracy: 0.525 ± 0.000
Epoch #39: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.173 ± 0.000,                               episode_1_off_accuracy: 0.498 ± 0.000
Epoch #40: episode_reward: 17140.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.153 ± 0.000,                               episode_1_off_accuracy: 0.499 ± 0.000
Epoch #41: episode_reward: 17126.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.131 ± 0.000,                               episode_1_off_accuracy: 0.502 ± 0.000
Epoch #42: episode_reward: 17119.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.197 ± 0.000,                               episode_1_off_accuracy: 0.525 ± 0.000
Epoch #43: episode_reward: 17133.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.123 ± 0.000,                               episode_1_off_accuracy: 0.562 ± 0.000
Epoch #44: episode_reward: 17119.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.150 ± 0.000,                               episode_1_off_accuracy: 0.499 ± 0.000
Epoch #45: episode_reward: 17119.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.187 ± 0.000,                               episode_1_off_accuracy: 0.517 ± 0.000
Epoch #46: episode_reward: 17133.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.180 ± 0.000,                               episode_1_off_accuracy: 0.461 ± 0.000
Epoch #47: episode_reward: 17119.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.162 ± 0.000,                               episode_1_off_accuracy: 0.349 ± 0.000
Epoch #48: episode_reward: 17119.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.153 ± 0.000,                               episode_1_off_accuracy: 0.352 ± 0.000
Epoch #49: episode_reward: 17105.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.209 ± 0.000,                               episode_1_off_accuracy: 0.545 ± 0.000
Epoch #50: episode_reward: 17119.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.133 ± 0.000,                               episode_1_off_accuracy: 0.269 ± 0.000
Epoch #51: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.139 ± 0.000,                               episode_1_off_accuracy: 0.201 ± 0.000
Epoch #52: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.139 ± 0.000,                               episode_1_off_accuracy: 0.233 ± 0.000
Epoch #53: episode_reward: 17119.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.155 ± 0.000,                               episode_1_off_accuracy: 0.331 ± 0.000
Epoch #54: episode_reward: 17126.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.179 ± 0.000,                               episode_1_off_accuracy: 0.412 ± 0.000
Epoch #55: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.160 ± 0.000,                               episode_1_off_accuracy: 0.356 ± 0.000
Epoch #56: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.138 ± 0.000,                               episode_1_off_accuracy: 0.335 ± 0.000
Epoch #57: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.143 ± 0.000,                               episode_1_off_accuracy: 0.195 ± 0.000
Epoch #58: episode_reward: 17140.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.145 ± 0.000,                               episode_1_off_accuracy: 0.207 ± 0.000
Epoch #59: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.165 ± 0.000,                               episode_1_off_accuracy: 0.451 ± 0.000
Epoch #60: episode_reward: 17140.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.133 ± 0.000,                               episode_1_off_accuracy: 0.282 ± 0.000
Epoch #61: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.136 ± 0.000,                               episode_1_off_accuracy: 0.163 ± 0.000
Epoch #62: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.135 ± 0.000,                               episode_1_off_accuracy: 0.158 ± 0.000
Epoch #63: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.154 ± 0.000,                               episode_1_off_accuracy: 0.204 ± 0.000
Epoch #64: episode_reward: 17140.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.136 ± 0.000,                               episode_1_off_accuracy: 0.185 ± 0.000
Epoch #65: episode_reward: 17126.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.223 ± 0.000,                               episode_1_off_accuracy: 0.262 ± 0.000
Epoch #66: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.135 ± 0.000,                               episode_1_off_accuracy: 0.206 ± 0.000
Epoch #67: episode_reward: 17140.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.167 ± 0.000,                               episode_1_off_accuracy: 0.285 ± 0.000
Epoch #68: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.135 ± 0.000,                               episode_1_off_accuracy: 0.153 ± 0.000
Epoch #69: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.142 ± 0.000,                               episode_1_off_accuracy: 0.171 ± 0.000
Epoch #70: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.139 ± 0.000,                               episode_1_off_accuracy: 0.175 ± 0.000
Epoch #71: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.144 ± 0.000,                               episode_1_off_accuracy: 0.204 ± 0.000
Epoch #72: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.135 ± 0.000,                               episode_1_off_accuracy: 0.153 ± 0.000
Epoch #73: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.135 ± 0.000,                               episode_1_off_accuracy: 0.153 ± 0.000
Epoch #74: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.139 ± 0.000,                               episode_1_off_accuracy: 0.179 ± 0.000
Epoch #75: episode_reward: 17133.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.143 ± 0.000,                               episode_1_off_accuracy: 0.203 ± 0.000
Epoch #76: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.144 ± 0.000,                               episode_1_off_accuracy: 0.191 ± 0.000
Epoch #77: episode_reward: 17140.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.147 ± 0.000,                               episode_1_off_accuracy: 0.187 ± 0.000
Epoch #78: episode_reward: 17126.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.189 ± 0.000,                               episode_1_off_accuracy: 0.226 ± 0.000
Epoch #79: episode_reward: 17126.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.214 ± 0.000,                               episode_1_off_accuracy: 0.259 ± 0.000
Epoch #80: episode_reward: 17119.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.208 ± 0.000,                               episode_1_off_accuracy: 0.245 ± 0.000
Epoch #81: episode_reward: 17126.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.198 ± 0.000,                               episode_1_off_accuracy: 0.223 ± 0.000
Epoch #82: episode_reward: 17126.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.156 ± 0.000,                               episode_1_off_accuracy: 0.187 ± 0.000
Epoch #83: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.135 ± 0.000,                               episode_1_off_accuracy: 0.153 ± 0.000
Epoch #84: episode_reward: 17126.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.166 ± 0.000,                               episode_1_off_accuracy: 0.212 ± 0.000
Epoch #85: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.136 ± 0.000,                               episode_1_off_accuracy: 0.161 ± 0.000
Epoch #86: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.143 ± 0.000,                               episode_1_off_accuracy: 0.179 ± 0.000
Epoch #87: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.139 ± 0.000,                               episode_1_off_accuracy: 0.196 ± 0.000
Epoch #88: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.135 ± 0.000,                               episode_1_off_accuracy: 0.160 ± 0.000
Epoch #89: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.135 ± 0.000,                               episode_1_off_accuracy: 0.154 ± 0.000
Epoch #90: episode_reward: 17140.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.118 ± 0.000,                               episode_1_off_accuracy: 0.253 ± 0.000
Epoch #91: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.131 ± 0.000,                               episode_1_off_accuracy: 0.147 ± 0.000
Epoch #92: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.150 ± 0.000,                               episode_1_off_accuracy: 0.214 ± 0.000
Epoch #93: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.144 ± 0.000,                               episode_1_off_accuracy: 0.212 ± 0.000
Epoch #94: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.135 ± 0.000,                               episode_1_off_accuracy: 0.153 ± 0.000
Epoch #95: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.140 ± 0.000,                               episode_1_off_accuracy: 0.164 ± 0.000
Epoch #96: episode_reward: 17119.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.252 ± 0.000,                               episode_1_off_accuracy: 0.298 ± 0.000
Epoch #97: episode_reward: 17119.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.219 ± 0.000,                               episode_1_off_accuracy: 0.242 ± 0.000
Epoch #98: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.142 ± 0.000,                               episode_1_off_accuracy: 0.177 ± 0.000
Epoch #99: episode_reward: 17133.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.140 ± 0.000,                               episode_1_off_accuracy: 0.163 ± 0.000
Epoch #100: episode_reward: 17119.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.243 ± 0.000,                               episode_1_off_accuracy: 0.258 ± 0.000
Epoch #101: episode_reward: 17112.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.243 ± 0.000,                               episode_1_off_accuracy: 0.270 ± 0.000
Epoch #102: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.135 ± 0.000,                               episode_1_off_accuracy: 0.153 ± 0.000
Epoch #103: episode_reward: 17112.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.236 ± 0.000,                               episode_1_off_accuracy: 0.336 ± 0.000
Epoch #104: episode_reward: 17140.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.135 ± 0.000,                               episode_1_off_accuracy: 0.153 ± 0.000
Epoch #105: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.135 ± 0.000,                               episode_1_off_accuracy: 0.155 ± 0.000
Epoch #106: episode_reward: 17133.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.129 ± 0.000,                               episode_1_off_accuracy: 0.201 ± 0.000
Epoch #107: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.138 ± 0.000,                               episode_1_off_accuracy: 0.175 ± 0.000
Epoch #108: episode_reward: 17140.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.145 ± 0.000,                               episode_1_off_accuracy: 0.189 ± 0.000
Epoch #109: episode_reward: 17119.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.182 ± 0.000,                               episode_1_off_accuracy: 0.346 ± 0.000
Epoch #110: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.141 ± 0.000,                               episode_1_off_accuracy: 0.179 ± 0.000
Epoch #111: episode_reward: 17133.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.136 ± 0.000,                               episode_1_off_accuracy: 0.168 ± 0.000
Epoch #112: episode_reward: 17126.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.161 ± 0.000,                               episode_1_off_accuracy: 0.197 ± 0.000
Epoch #113: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.140 ± 0.000,                               episode_1_off_accuracy: 0.208 ± 0.000
Epoch #114: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.135 ± 0.000,                               episode_1_off_accuracy: 0.153 ± 0.000
Epoch #115: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.136 ± 0.000,                               episode_1_off_accuracy: 0.153 ± 0.000
Epoch #116: episode_reward: 17133.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.136 ± 0.000,                               episode_1_off_accuracy: 0.153 ± 0.000
Epoch #117: episode_reward: 17133.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.135 ± 0.000,                               episode_1_off_accuracy: 0.157 ± 0.000
Epoch #118: episode_reward: 17133.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.234 ± 0.000,                               episode_1_off_accuracy: 0.254 ± 0.000
Epoch #119: episode_reward: 17133.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.145 ± 0.000,                               episode_1_off_accuracy: 0.203 ± 0.000
Epoch #120: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.135 ± 0.000,                               episode_1_off_accuracy: 0.153 ± 0.000
Epoch #121: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.135 ± 0.000,                               episode_1_off_accuracy: 0.153 ± 0.000
Epoch #122: episode_reward: 17119.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.267 ± 0.000,                               episode_1_off_accuracy: 0.281 ± 0.000
Epoch #123: episode_reward: 17119.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.224 ± 0.000,                               episode_1_off_accuracy: 0.251 ± 0.000
Epoch #124: episode_reward: 17133.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.135 ± 0.000,                               episode_1_off_accuracy: 0.152 ± 0.000
Epoch #125: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.135 ± 0.000,                               episode_1_off_accuracy: 0.153 ± 0.000
Epoch #126: episode_reward: 17133.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.169 ± 0.000,                               episode_1_off_accuracy: 0.208 ± 0.000
Epoch #127: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.136 ± 0.000,                               episode_1_off_accuracy: 0.153 ± 0.000
Epoch #128: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.139 ± 0.000,                               episode_1_off_accuracy: 0.178 ± 0.000
Epoch #129: episode_reward: 17133.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.174 ± 0.000,                               episode_1_off_accuracy: 0.194 ± 0.000
Epoch #130: episode_reward: 17126.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.192 ± 0.000,                               episode_1_off_accuracy: 0.282 ± 0.000
Epoch #131: episode_reward: 17119.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.121 ± 0.000,                               episode_1_off_accuracy: 0.263 ± 0.000
Epoch #132: episode_reward: 17119.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.192 ± 0.000,                               episode_1_off_accuracy: 0.228 ± 0.000
Epoch #133: episode_reward: 17126.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.092 ± 0.000,                               episode_1_off_accuracy: 0.242 ± 0.000
Epoch #134: episode_reward: 17126.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.193 ± 0.000,                               episode_1_off_accuracy: 0.375 ± 0.000
Epoch #135: episode_reward: 17119.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.193 ± 0.000,                               episode_1_off_accuracy: 0.469 ± 0.000
Epoch #136: episode_reward: 17161.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.047 ± 0.000,                               episode_1_off_accuracy: 0.160 ± 0.000
Epoch #137: episode_reward: 17161.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.013 ± 0.000,                               episode_1_off_accuracy: 0.061 ± 0.000
Epoch #138: episode_reward: 17161.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.003 ± 0.000,                               episode_1_off_accuracy: 0.024 ± 0.000
Epoch #139: episode_reward: 17133.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.182 ± 0.000,                               episode_1_off_accuracy: 0.431 ± 0.000
Epoch #140: episode_reward: 17133.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.067 ± 0.000,                               episode_1_off_accuracy: 0.230 ± 0.000
Epoch #141: episode_reward: 17126.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.165 ± 0.000,                               episode_1_off_accuracy: 0.413 ± 0.000
Epoch #142: episode_reward: 17112.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.313 ± 0.000,                               episode_1_off_accuracy: 0.564 ± 0.000
Epoch #143: episode_reward: 17140.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.115 ± 0.000,                               episode_1_off_accuracy: 0.354 ± 0.000
Epoch #144: episode_reward: 17147.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.197 ± 0.000,                               episode_1_off_accuracy: 0.438 ± 0.000
Epoch #145: episode_reward: 17133.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.091 ± 0.000,                               episode_1_off_accuracy: 0.238 ± 0.000
Epoch #146: episode_reward: 17133.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.033 ± 0.000,                               episode_1_off_accuracy: 0.119 ± 0.000
Epoch #147: episode_reward: 17133.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.255 ± 0.000,                               episode_1_off_accuracy: 0.442 ± 0.000
