Start training dynamics
loss/model_eval_mse_loss: 0.001883
loss/model_eval_mse_loss: 0.000583
loss/model_eval_mse_loss: 0.000766
loss/model_eval_mse_loss: 0.000423
loss/model_eval_mse_loss: 0.000195
loss/model_eval_mse_loss: 0.000077
loss/model_eval_mse_loss: 0.000094
loss/model_eval_mse_loss: 0.000019
loss/model_eval_mse_loss: 0.000025
loss/model_eval_mse_loss: 0.000021
loss/model_eval_mse_loss: 0.000001
loss/model_eval_mse_loss: 0.000033
loss/model_eval_mse_loss: 0.000000
loss/model_eval_mse_loss: 0.000009
loss/model_eval_mse_loss: 0.000032
loss/model_eval_mse_loss: 0.000001
loss/model_eval_mse_loss: 0.000007
loss/model_eval_mse_loss: 0.000015
loss/model_eval_mse_loss: 0.000016
loss/model_eval_mse_loss: 0.000017
loss/model_eval_mse_loss: 0.000047
loss/model_eval_mse_loss: 0.000001
loss/model_eval_mse_loss: 0.000024
loss/model_eval_mse_loss: 0.000003
loss/model_eval_mse_loss: 0.000063
loss/model_eval_mse_loss: 0.000004
loss/model_eval_mse_loss: 0.000013
loss/model_eval_mse_loss: 0.000001
loss/model_eval_mse_loss: 0.000033
loss/model_eval_mse_loss: 0.000030
loss/model_eval_mse_loss: 0.000013
loss/model_eval_mse_loss: 0.000001
loss/model_eval_mse_loss: 0.000001
loss/model_eval_mse_loss: 0.000009
loss/model_eval_mse_loss: 0.000015
loss/model_eval_mse_loss: 0.000024
loss/model_eval_mse_loss: 0.000004
total time: 50.824s
Epoch #56: episode_reward: 1.108 ± 4.240,                                episode_length: 6.000 ± 0.000
Epoch #57: episode_reward: 1.509 ± 3.575,                                episode_length: 6.000 ± 0.000
Epoch #58: episode_reward: 1.124 ± 3.778,                                episode_length: 6.000 ± 0.000
Epoch #59: episode_reward: 1.396 ± 3.480,                                episode_length: 6.000 ± 0.000
Epoch #60: episode_reward: 0.012 ± 4.677,                                episode_length: 6.000 ± 0.000
Epoch #61: episode_reward: 0.952 ± 4.037,                                episode_length: 6.000 ± 0.000
Epoch #62: episode_reward: 0.458 ± 5.272,                                episode_length: 6.000 ± 0.000
Epoch #63: episode_reward: 0.696 ± 4.450,                                episode_length: 6.000 ± 0.000
Epoch #64: episode_reward: -0.059 ± 4.892,                                episode_length: 6.000 ± 0.000
Epoch #65: episode_reward: 0.418 ± 4.566,                                episode_length: 6.000 ± 0.000
Epoch #66: episode_reward: 0.363 ± 5.097,                                episode_length: 6.000 ± 0.000
Epoch #67: episode_reward: -0.194 ± 5.052,                                episode_length: 6.000 ± 0.000
Epoch #68: episode_reward: 0.860 ± 4.375,                                episode_length: 6.000 ± 0.000
Epoch #69: episode_reward: 0.963 ± 4.829,                                episode_length: 6.000 ± 0.000
Epoch #70: episode_reward: 0.347 ± 5.024,                                episode_length: 6.000 ± 0.000
Epoch #71: episode_reward: 0.234 ± 4.770,                                episode_length: 6.000 ± 0.000
Epoch #72: episode_reward: 0.489 ± 5.019,                                episode_length: 6.000 ± 0.000
Epoch #73: episode_reward: 1.059 ± 4.261,                                episode_length: 6.000 ± 0.000
Epoch #74: episode_reward: 1.620 ± 3.646,                                episode_length: 6.000 ± 0.000
Epoch #75: episode_reward: 0.979 ± 3.624,                                episode_length: 6.000 ± 0.000
Epoch #76: episode_reward: 1.431 ± 4.091,                                episode_length: 6.000 ± 0.000
Epoch #77: episode_reward: 0.783 ± 4.536,                                episode_length: 6.000 ± 0.000
Epoch #78: episode_reward: 1.428 ± 3.977,                                episode_length: 6.000 ± 0.000
Epoch #79: episode_reward: 0.699 ± 4.630,                                episode_length: 6.000 ± 0.000
Epoch #80: episode_reward: 1.034 ± 4.454,                                episode_length: 6.000 ± 0.000
Epoch #81: episode_reward: 0.943 ± 4.553,                                episode_length: 6.000 ± 0.000
Epoch #82: episode_reward: 1.457 ± 3.895,                                episode_length: 6.000 ± 0.000
Epoch #83: episode_reward: 0.899 ± 4.558,                                episode_length: 6.000 ± 0.000
Epoch #84: episode_reward: 0.453 ± 4.800,                                episode_length: 6.000 ± 0.000
