Epoch #1: episode_reward: 17133.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.687 ± 0.000,                               episode_1_off_accuracy: 0.717 ± 0.000
Epoch #2: episode_reward: 17119.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.604 ± 0.000,                               episode_1_off_accuracy: 0.736 ± 0.000
Epoch #3: episode_reward: 17119.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.484 ± 0.000,                               episode_1_off_accuracy: 0.770 ± 0.000
Epoch #4: episode_reward: 17126.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.275 ± 0.000,                               episode_1_off_accuracy: 0.763 ± 0.000
Epoch #5: episode_reward: 17140.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.203 ± 0.000,                               episode_1_off_accuracy: 0.625 ± 0.000
Epoch #6: episode_reward: 17140.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.144 ± 0.000,                               episode_1_off_accuracy: 0.526 ± 0.000
Epoch #7: episode_reward: 17133.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.107 ± 0.000,                               episode_1_off_accuracy: 0.357 ± 0.000
Epoch #8: episode_reward: 17119.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.130 ± 0.000,                               episode_1_off_accuracy: 0.371 ± 0.000
Epoch #9: episode_reward: 17133.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.143 ± 0.000,                               episode_1_off_accuracy: 0.338 ± 0.000
Epoch #10: episode_reward: 17140.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.133 ± 0.000,                               episode_1_off_accuracy: 0.405 ± 0.000
Epoch #11: episode_reward: 17140.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.126 ± 0.000,                               episode_1_off_accuracy: 0.448 ± 0.000
Epoch #12: episode_reward: 17140.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.136 ± 0.000,                               episode_1_off_accuracy: 0.420 ± 0.000
Epoch #13: episode_reward: 17140.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.133 ± 0.000,                               episode_1_off_accuracy: 0.406 ± 0.000
Epoch #14: episode_reward: 17126.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.176 ± 0.000,                               episode_1_off_accuracy: 0.456 ± 0.000
Epoch #15: episode_reward: 17140.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.126 ± 0.000,                               episode_1_off_accuracy: 0.409 ± 0.000
Epoch #16: episode_reward: 17140.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.137 ± 0.000,                               episode_1_off_accuracy: 0.384 ± 0.000
Epoch #17: episode_reward: 17133.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.146 ± 0.000,                               episode_1_off_accuracy: 0.366 ± 0.000
Epoch #18: episode_reward: 17126.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.136 ± 0.000,                               episode_1_off_accuracy: 0.465 ± 0.000
Epoch #19: episode_reward: 17112.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.164 ± 0.000,                               episode_1_off_accuracy: 0.525 ± 0.000
Epoch #20: episode_reward: 17133.000 ± 0.000,                               episode_length: 1000.000 ± 0.000,                               episode_accuracy: 0.158 ± 0.000,                               episode_1_off_accuracy: 0.425 ± 0.000
total time: 2043.219s
