Epoch #70: episode_reward: 4767.635 ± 69.570,                               episode_length: 1000.000 ± 0.000
Epoch #71: episode_reward: 4700.507 ± 56.717,                               episode_length: 1000.000 ± 0.000
Epoch #72: episode_reward: 4629.444 ± 57.806,                               episode_length: 1000.000 ± 0.000
Epoch #73: episode_reward: 4368.187 ± 597.707,                               episode_length: 1000.000 ± 0.000
Epoch #74: episode_reward: 4653.385 ± 89.786,                               episode_length: 1000.000 ± 0.000
Epoch #75: episode_reward: 4541.039 ± 65.200,                               episode_length: 1000.000 ± 0.000
Epoch #76: episode_reward: 4723.920 ± 68.680,                               episode_length: 1000.000 ± 0.000
Epoch #77: episode_reward: 4811.934 ± 64.560,                               episode_length: 1000.000 ± 0.000
Epoch #78: episode_reward: 4700.900 ± 55.792,                               episode_length: 1000.000 ± 0.000
Epoch #79: episode_reward: 4748.391 ± 75.994,                               episode_length: 1000.000 ± 0.000
Epoch #80: episode_reward: 4523.028 ± 58.344,                               episode_length: 1000.000 ± 0.000
Epoch #81: episode_reward: 4706.922 ± 43.270,                               episode_length: 1000.000 ± 0.000
Epoch #82: episode_reward: 4743.779 ± 68.993,                               episode_length: 1000.000 ± 0.000
Epoch #83: episode_reward: 4581.938 ± 111.699,                               episode_length: 1000.000 ± 0.000
Epoch #84: episode_reward: 4756.979 ± 73.972,                               episode_length: 1000.000 ± 0.000
Epoch #85: episode_reward: 4604.596 ± 66.454,                               episode_length: 1000.000 ± 0.000
Epoch #86: episode_reward: 4693.402 ± 47.653,                               episode_length: 1000.000 ± 0.000
Epoch #87: episode_reward: 4668.311 ± 89.112,                               episode_length: 1000.000 ± 0.000
Epoch #88: episode_reward: 4607.053 ± 53.713,                               episode_length: 1000.000 ± 0.000
Epoch #89: episode_reward: 4815.861 ± 44.367,                               episode_length: 1000.000 ± 0.000
Epoch #90: episode_reward: 4941.979 ± 97.686,                               episode_length: 1000.000 ± 0.000
Epoch #91: episode_reward: 4899.247 ± 58.241,                               episode_length: 1000.000 ± 0.000
Epoch #92: episode_reward: 4814.343 ± 51.877,                               episode_length: 1000.000 ± 0.000
Epoch #93: episode_reward: 4814.850 ± 48.080,                               episode_length: 1000.000 ± 0.000
Epoch #94: episode_reward: 4663.427 ± 56.159,                               episode_length: 1000.000 ± 0.000
Epoch #95: episode_reward: 4735.487 ± 45.493,                               episode_length: 1000.000 ± 0.000
Epoch #96: episode_reward: 4795.166 ± 62.590,                               episode_length: 1000.000 ± 0.000
Epoch #97: episode_reward: 4962.803 ± 36.199,                               episode_length: 1000.000 ± 0.000
Epoch #98: episode_reward: 4879.912 ± 76.166,                               episode_length: 1000.000 ± 0.000
Epoch #99: episode_reward: 4830.496 ± 87.792,                               episode_length: 1000.000 ± 0.000
Epoch #100: episode_reward: 4734.397 ± 84.896,                               episode_length: 1000.000 ± 0.000
total time: 3717.287s
